ID,term,category,appliesTo,definition,category2,dataSource
2402,spike-like,architecture,"capitulescence, inflorescence","Resembling a spike, but not strictly such.",architecture,
2403,spikelet,structure,inflorescence,"A compound structure belonging to the penultimate subdivisional order of a sedge or grass inflorescence; consisting of one or more florets (each a diminutive flower subtended by specialized bractlets (bracteoles) called scales or glumes in sedges, lemma a",nominative,
2404,spikeleted,architecture,inflorescence,Having the penultimate subdivisional order consisting of spikelets.,architecture,
2405,spindle-shaped,shape,,"Elongate, transversely round, broadest at the middle and regularly attenuate to either end.",shape,
2406,spine,structure,,"Any sharp, stiff, simple or branched, woody appendage having vascular tissues confluent with those of the bearing structure.  'Spine' is often preferred when the appendage is homologous with a leaf or stipule, and 'thorn' when it is homologous with a bran",STRUCTURE,
2407,spinescent,architecture,,Becoming spinose.,architecture,
2409,spinose,architecture,,Bearing spines.  See also spinulose.,shape,
2410,spinose,shape,,"Having slender, stiff, sharp projections oriented in the general plane of the structure.  See also spinulose.",shape,
2411,spinulose,shape,,Finely spinose.,shape,
2412,spinulose,architecture,,Finely spinose.,architecture,
2414,spiny,architecture,,Bearing spines.,shape,
2415,spiny,shape,,"Having slender, stiff, sharp projections oriented in the general plane of the structure.",shape,
2416,spiral,arrangement,,"Disposed helically about and along the axis, each on a different radius than the one(s) vertically adjacent.",arrangement,q
2417,spiral,course,,Curving with regularly increasing radius from one end to the other in one general plane.,arrangement,q
2418,spire-shaped,shape,,"Attenuate-spiral in three dimensions, the coils contiguous or not.",shape,
2419,spirolobal,arrangement,cotyledons,Incumbent and folded together transversely.,arrangement,
2420,splendent,reflectance,,"Interruptedly glossy (laevigate, lustrous, polished, shining, shiny) and thus sparkling when viewed from changing angles.",reflectance,
2421,spongy,texture,,"Soft, light, discontinuous but cohesive, and somewhat resilient.",texture,
2422,sporangiophore,structure,,A stalk that bears one or more sporangia.,STRUCTURE,
2423,sporangium,structure,,"A spore-producing organ; basically capsular, often supported by a slender stalk (sporangiophore), often operculate (lidded).  In Bryophyta and Polypodiophyta, a distinct portion of the sporangial wall effects regular dehiscence at maturity.  Sporangia or",STRUCTURE,
2424,sporangia,structure,,"A spore-producing organ; basically capsular, often supported by a slender stalk (sporangiophore), often operculate (lidded).  In Bryophyta and Polypodiophyta, a distinct portion of the sporangial wall effects regular dehiscence at maturity.  Sporangia or",STRUCTURE,
2425,spore,structure,,"A simple, usually unicellular, sometimes oligocellular propagule derived by meiotic division of a diploid (2n chromosomes) sporocyte within a sporangium, thus of haploid (n chromosomes) genetic constitution.  A spore constitutes the first ontogenetic stag",STRUCTURE,
2426,spore_body,structure,,"A multicellular structure that bears and more or less encloses several to (usually) many sporangia, the latter often aggregated into sori within it  See also megasporocarp (macrosporocarp, not recommended), microsporocarp.",STRUCTURE,
2427,spore_case,structure,,"A spore-producing organ; basically capsular, often supported by a slender stalk (sporangiophore), often lidded (operculate).  In Bryophyta and Polypodiophyta, a distinct portion of the sporangial wall effects regular dehiscence at maturity.  Spore cases o",STRUCTURE,
2428,spore_leaf,structure,,"A leaf or homologous structure that bears sporangia  See also  megasporophyll (macrosporophyll, not recommended), microsporophyll.",STRUCTURE,
2429,sporocarp,structure,,"A multicellular structure that bears and more or less encloses several to (usually) many sporangia, the latter often aggregated into sori within it  See also megasporocarp (macrosporocarp, not recommended), microsporocarp.",STRUCTURE,
2430,sporophyll,structure,,"A leaf or homologous structure that bears sporangia.  See also megasporophyll (macrosporophyll, not recommended), microsporophyll.",STRUCTURE,
2431,sporophyte,PLANT,,"The main, ultimate, spore-bearing stage in the diploid (2n chromosomes) phase of a taxon's life cycle.  Two morphologically and genetically distinct and alternate phases together constitute the complete life cycle in sexually reproducing taxa, the other p",PLANT,
2432,spot,FEATURE,,"An area that differs in color from the rest of a structure's surface, usually due to differing coloration.  See also eyespot.",FEATURE,
2433,spotted,coloration,,Having one or more areas that differ in color from the rest of the surface.  See also eyespotted.,coloration,
2434,spreading,orientation,lateral structure,Antrorse and diverging at an acute angle from the bearing structure.,orientation,
2435,spur,structure,,"A hollow protrusion from a calyx or corolla, often nectariferous.",STRUCTURE,
2436,spur,structure,,"A first- or higher-order woody stem branch having relatively unelongated internodes, thus proximate nodes, and limited duration of growth, usually branching little if at all; often a main locus of flower production; usually more or less perpendicular to t",STRUCTURE,
2437,spurred,shape,,Having a relatively slender protrusion resembling a spur.,shape,
2438,squama,structure,,"A relatively thick, planate trichome.  See also squamella (squamule).",STRUCTURE,
2439,squamae,structure,,"A relatively thick, planate trichome.  See also squamella (squamule).",STRUCTURE,
2440,squamate,pubescence,,Bearing squamae (lepides).  See also squamellose.,pubescence,
2441,squamella,structure,,A diminutive squama (lepis).,STRUCTURE,
2442,squamellae,structure,,A diminutive squama (lepis).,STRUCTURE,
2443,squamella,structure,,"A small, dry bract borne on the compound receptacle (torus) of a capitulum (head); in Asteraceae (Compositae).",STRUCTURE,
2444,squamellae,structure,,"A small, dry bract borne on the compound receptacle (torus) of a capitulum (head); in Asteraceae (Compositae).",STRUCTURE,
2445,squamella,structure,,"One of two or three small, scale-like structures inserted at the base of the androecium, distal to the palea, in most grass (Poaceae) flowers; often regarded as a vestigial branch or perianth member.",STRUCTURE,
2446,squamellae,structure,,"One of two or three small, scale-like structures inserted at the base of the androecium, distal to the palea, in most grass (Poaceae) flowers; often regarded as a vestigial branch or perianth member.",STRUCTURE,
2447,squamellose,pubescence,,Finely squamose (lepidote).,pubescence,
2448,squamiform,shape,,"Isodiametric to elongate in broad outline, relatively very thin, and planate to moderately concave-convex.",shape,
2449,squamose,pubescence,,Bearing squamae (lepides).  See also squamellose.,pubescence,
2450,squamule,structure,,A diminutive squama (lepis).,STRUCTURE,
2451,squamule,structure,,"A small, dry bract borne on the compound receptacle (torus) of a capitulum (head); in Asteraceae (Compositae).",STRUCTURE,
2452,squamule,structure,,"One of two or three small, scale-like structures inserted at the base of the androecium, distal to the palea, in most grass (Poaceae) flowers; often regarded as a vestigial branch or perianth member.",STRUCTURE,
2453,square,shape,,Equilaterally rectangular.,shape,
2454,squarrose,orientation,lateral structure,"Having the proximal portion appressed and the distal portion deflexed, the latter more or less perpendicular to the surface of the bearing structure.",orientation,
2455,stalk,structure,,"A supporting axis or column that bears a structure at its apex; may be ontogenetically distinct from the structure that it bears, or may be the basal portion of an ontogenetic entity that includes both the stalk and the structure that it bears; usually na",STRUCTURE,
2456,stalked,architecture,flower,Having a pedicel.,architecture,
2457,stalked,architecture,inflorescence,Having a peduncle.,architecture,
2458,stalked,architecture,leaf,Having a petiole.,architecture,
2459,stalked,architecture,leaflet,Having a petiolule.,architecture,
2460,stalked,architecture,ovule,"Having a funiculus (funicle), by which it is attached to the ovary wall.",architecture,
2461,stalked,architecture,fruit,Having a stipe.,architecture,
2462,stalkless,architecture,,"Lacking a stalk, thus inserted ('sitting') directly upon the bearing structure.",architecture,
