ID,term,category,appliesTo,definition,category2,dataSource
#,abaxial,insertion,,On or pertaining to the side or portion of a lateral structure that faces (or would face) away from the bearing axis when (or if) the axis of the lateral structure is (or were) oriented in the same general direction as the bearing axis.,position,
2,abaxial,position,,On or pertaining to the side or portion of a lateral structure that faces (or would face) away from the bearing axis when (or if) the axis of the lateral structure is (or were) oriented in the same general direction as the bearing axis.,position,
3,abortive,maturation,"spore, pollen, seed",Never attaining functional maturity due to defective or arrested development.,maturation,
4,abrupt,shape,,Having a distal boundary that is generally straight or plane and approximately perpendicular to the central axis.,shape,
#,absent,presence,,Not occurring within the context in point.,presence,
6,acaulous,architecture,plant,"Lacking any evident, elongate, aboveground stem, other than reproductive axes, at maturity, the leaves and/or reproductive axes arising essentially at substrate level from a very short axis with highly congested nodes.",architecture,
7,accessory_cell,structure,,One of the cytologically distinctive epidermal cells that are sometimes present in a stomate and that surround and are regularly oriented in relation to the guard cells.,STRUCTURE,
8,accessory_fruit,structure,fruit,Simple or compound and including some tissue of non-ovarian origin (accessory tissue).,nominative,
9,accrescent,duration,structure,Increasing further in size after the bearing structure has become functionally mature; esp. a calyx after anthesis.,duration,
10,accumbent,arrangement,cotyledons,"Having the two cotyledons facing and parallel (adaxial surfaces contiguous) and recurved together, one lateral edge of each abutting the hypocotyl and radicle.",arrangement,
11,acephalous,architecture,,"Not terminated or surmounted by a head-like structure, esp. when one might be expected.",architecture,
12,acephalous,shape,,"Not terminating in a head-like portion, esp. when one might be expected.",shape,
13,acerose,shape,,"Rounded in cross-section and very slenderly elongate, broadest near the middle, and gradually attenuate to an acute apex and a slightly blunter base; like a needle.",shape,
14,acetabuliform,shape,,"Transversely circular, broader than long, widest near or at the middle, relatively thin-walled, the hollow interior open distally; like a shallow bowl with strongly incurved sides.",shape,
15,achene,structure,fruit,"Small, dry, indehiscent, and usually one-seeded, with the pericarp thin to thick, sometimes osseous, and adnate to the seed; derived from a single, superior, simple or compound, unicarpellate ovary.  Although in traditional use caryopsis (or grain) has be",nominative,
17,achlamydeous,architecture,flower,Lacking a perianth.,architecture,
19,acicular,shape,,"Rounded in cross-section and very slenderly elongate, broadest near the middle, and gradually attenuate to an acute apex and a slightly blunter base; like a needle.",shape,
20,aciculate,coloration,,"Having fine, irregularly oriented, straight  streaks of contrasting hue and/or intensity as if scratched.",coloration,
21,acinaciform,shape,,"Thin and moderately arcuate with two opposite, plane, broad faces, the degree of curvature increasing distally, thinnest at the convex edge, thicker toward the concave; like a scimitar blade.",shape,
22,acorn,structure,fruit,"A nut subtended by a persistent, hard, cap-like involucre of numerous, coherent, imbricate bracts; esp. in Fagaceae.",nominative,
23,acrid,shape,,"Terminating abruptly in a rigid, relatively short, sharp point composed of both vascular and laminar tissues.",shape,
24,acrid,odor,,Sharp or astringent.,odor,
#,acrocaulous,insertion,,At or very near the stem tip.,insertion,
26,acrocaulous,position,,At or very near the stem tip.,position,
27,acrodromous,venation,,"Having two or more primary and/or strongly developed secondary veins that diverge at or above the laminar base and are thence convergently arcuate toward the apex, reaching it or not.",venation,
28,acropetal,development,,"Proceeding toward the apex, thus more advanced basally or proximally than apically or distally within a given frame of reference.",development,
29,acroramous,architecture,axis,Branching at or near the apex.,architecture,
30,acroscopic,orientation,subordinate structure,"Directed, facing, or pointing ('looking') toward the apex of the bearing structure.",orientation,
31,actinocytic,architecture,stomate,Having several subsidiary cells oriented radially to its center.,architecture,
32,actinodromous,venation,,"Having three or more primary veins that diverge radially from a point at or above the base of the blade and run toward the margin, reaching it or not.",venation,
33,actinomorphic,architecture,"perianth, calyx, corolla",Radially symmetric; divisible into two essentially equal portions along any median longitudinal plane.,architecture,
34,aculeate,shape,,"Having slender, stiff, sharp projections oriented in the general plane of the structure.",shape,
35,acuminate,shape,,"Gradually diminishing in width or diameter to a slender tip, the sides longitudinally concave.  Corresponds with attenuate for base shape.",shape,
36,acute,shape,,"Sharply angular; regularly and more or less straightly attenuate to an angular tip, the sides intersecting at an angle of less than 90-�+�.",shape,
37,acyclic,arrangement,,"Disposed helically about and along the axis, each on a different radius than the one(s) vertically adjacent.",arrangement,
#,adaxial,insertion,,On or pertaining to the side or portion of a lateral structure that faces (or would face) toward the bearing axis when (or if) the axis of the lateral structure is (or were) oriented in the same general direction as the bearing axis.,position,
39,adaxial,position,,On or pertaining to the side or portion of a lateral structure that faces (or would face) toward the bearing axis when (or if) the axis of the lateral structure is (or were) oriented in the same general direction as the bearing axis.,position,
40,_adelphous,architecture,"flower, androecium","Having two or more distinct sets of stamens, the sets differing from one another in the arrangements, insertions, positions and/or morphologies of the included stamens, the number of sets indicated by the prefix, at least one set with two or more members;",architecture,
41,adenopetalous,architecture,"flower, perianth, corolla",Having petals produced from glandular structures.,architecture,
42,adenopetalous,derivation,"flower, perianth, corolla",Having petals derived from glandular structures.,derivation,
43,adherent,fusion,dissimilar structure(s),"Superficially joined with or to one or more other dissimilar structures, the connection(s) with no significant histological continuity.  See also coherent.",fusion,
44,adnate,fusion,dissimilar structure(s),"Intimately fused with or to one or more other dissimilar structures, the connection(s) with strong histological continuity.  See also connate.",fusion,
45,adventitious,derivation,,"Arising more or less unpredictably from an organ, tissue, or site that is an unusual, abnormal, or atypical origin for structures of its type.",derivation,
46,adventitious_bud,structure,,A vegetative or floral bud that arises directly from a root or from some site on a shoot other than a leaf axil or stem apex.,STRUCTURE,
47,adventitious_root,structure,,"A root that arises laterally from some part of a shoot, often from the lower portion of a main stem.",STRUCTURE,
48,aerial,location,,Above ground or water level.,location,
49,aerial_root,structure,,"A root, adventitious or not, that originates and functions entirely above ground during the normal life cycle of the plant.",STRUCTURE,
50,aerial-rooted,architecture,"plant, structure",Bearing aerial roots.,architecture,
51,aestivation,CHARACTER,,"Disposition of perianth (undifferentiated), calyx, or corolla members in the bud.",CHARACTER,
52,agamospermous,reproduction,"taxon, plant",Producing viable embryos (in seeds) asexually.,reproduction,
53,agglomerate,architecture,inflorescence,Comprising one or more glomes.,architecture,
54,aggregate_fruit,structure,fruit,"Compound and derived from the two or more simple, superior ovaries of a single apocarpous flower; the ovaries connate, coherent, or contiguous in the fruit, the whole with or without accessory tissue.",nominative,
55,akene,structure,fruit,See achene.,nominative,
56,ala,structure,,"Any elongate, relatively thin protrusion or appendage.",STRUCTURE,
57,alae,structure,,"Any elongate, relatively thin protrusion or appendage.",STRUCTURE,
59,alae,structure,,One of the two lateral petals in a papilionaceous corolla.,STRUCTURE,
61,alate,architecture,pollen grain,Having lateral lobes or enations that resemble sacs or somewhat inflated wings.,architecture,
62,albumen,structure,,A genetically triploid (3n chromosomes) nutritive tissue in a seed; containing stored carbohydrate and/or oil utilized by the embryo prior to and especially upon germination; derived from fusion of the two polar nuclei (n + n chromosomes) of the embryo sa,STRUCTURE / SUBSTANCE,
63,alete,architecture,spore,Lacking a tetrad scar (surficial ridge or angle resulting from coherence with others produced from the same spore mother cell).,architecture,
64,allagostemonous,architecture,"flower, androecium",Having the stamens inserted alternately upon petals and the receptacle.,architecture,
65,allogamous,reproduction,taxon,Having fertilization regularly involving gametes derived from different plants.,reproduction,
66,allomictic,reproduction,taxon,Having fertilization regularly involving gametes derived from different plants.,reproduction,
67,almondy,odor,,"Pungently fruity like almonds, due to the presence of hydrocyanin or a closely related compound.",odor,
68,alternate,arrangement,,"Inserted singly along the axis, each at a different level and each diverging on a different radius than the ones next above and below.",arrangement,
70,alveolate,relief,,"Having generally uniform, regularly and closely disposed, transversely polygonal depressions overall, the pattern resembling the external aspect of a honeycomb.",relief,
71,ament,structure,inflorescence,"Elongate, more or less flexible and spike-like, often unisexual, the central axis bearing numerous diminutive flowers inserted either singly or in cymules, the pedicels or secondary axes subtended by small, paleaceous bracts or scales, the whole often dec",nominative,
72,amentate,architecture,inflorescence,Comprising one or more aments.,architecture,
73,amphibious,habit,plant,"Able to live in either aquatic or terrestrial habitats; e.g., adapted to periodic inundation on floodplains.",arrangement,
74,amphicarpic,architecture,plant,Producing two morphologically or phenologically different types of fruit.,arrangement,
75,amphicarpous,architecture,plant,Producing two morphologically or phenologically different types of fruit.,arrangement,
76,amphimictic,reproduction,"taxon, plant",Reproducing sexually.,arrangement,
77,amphistomic,architecture,foliaceous structure,Having stomata on both the adaxial and abaxial surfaces.,arrangement,
78,amphistomatic,architecture,foliaceous structure,Having stomata on both the adaxial and abaxial surfaces.,arrangement,
79,amphistomatous,architecture,foliaceous structure,Having stomata on both the adaxial and abaxial surfaces.,arrangement,
80,amphitropous,orientation,ovule,"Having the funiculus adnate to the proximal portion of the (straight) ovule, the latter lying and the micropyle facing parallel to the ovary wall (placenta).",arrangement,
82,amplexicaulous,architecture,foliaceous structure,"Having two distinct basal lobes that partially or fully encircle the bearing axis.  See also connate-perfoliate, perfoliate.",arrangement,
83,amplexicaul,architecture,foliaceous structure,"Having two distinct basal lobes that partially or fully encircle the bearing axis.  See also connate-perfoliate, perfoliate.",arrangement,
84,ampulla,structure,,"A small, membranous, hollow, flask-shaped, insectivorous structure borne on a submerged leaf; esp. in Lentibulariaceae.",arrangement,
85,ampullae,structure,,"A small, membranous, hollow, flask-shaped, insectivorous structure borne on a submerged leaf; esp. in Lentibulariaceae.",arrangement,
86,ampulliform,shape,,"Generally circular in cross-section, broadest at or below the middle, approximately globose below that and constricted above to a relatively narrow neck; like a flask.",arrangement,
87,anadromous,venation,,"Having the first lateral vein in each pinna or primary segment of the frond arise from its midvein on the side toward the apex of the frond, the pinnule or secondary segment that it leads to often disproportionately larger than the next distal ones.",arrangement,
88,anastomosing,architecture,"tertiary and higher-order laminar veins, excl. veinlets",Interconnecting more or less regularly.,arrangement,
89,anatropous,orientation,ovule,"Having the funiculus distally recurved and the (straight) ovule lying beside and parallel to the proximal portion of the funiculus, to which it may be adnate or adherent, the micropyle facing the ovary wall (placenta).",arrangement,
90,anchoring,habit,trichome,Serving as a means of attachment to some external support.,habit,
91,androdioecious,reproduction,taxon,Having some plants with only bisexual flowers and others only staminate ones.,arrangement,
92,androecial_tube,structure,,The tubular portion of an androecium in which the component structures have fused with one another laterally over part or all their lengths.,arrangement,
93,androecium,structure,,"The stamen(s), staminode(s), if any, and their ontogenetically associated structure(s), if any, of a single flower, taken collectively.",arrangement,
94,androecia,structure,,"The stamen(s), staminode(s), if any, and their ontogenetically associated structure(s), if any, of a single flower, taken collectively.",arrangement,
95,androgynecandrous,reproduction,taxon,"Monoecious, each inflorescence having distal and proximal sectors with only staminate flowers and between them a central sector with only pistillate ones.",arrangement,
96,androgynophore,structure,,A stalk that rises above the level of perianth insertion and bears the free portions of both androecium and gynoecium from its summit; as in Passifloraceae.,arrangement,
97,androgynous,reproduction,taxon,"Monoecious, each inflorescence having a distal sector with only staminate flowers and a proximal sector with only pistillate ones.",arrangement,
98,andromonoecious,reproduction,taxon,Having all plants with both bisexual flowers and staminate ones.,arrangement,
99,andropetalous,architecture,"flower, androecium","Having petaloid, sterile stamens.",arrangement,
100,andropetalous,derivation,"flower, perianth, corolla",Having some or all petals derived from stamens.,arrangement,
101,androphore,structure,,"A stalk or tube that rises above the level of perianth insertion and bears the distinct portions of the androecium  from its summit; as in Malvaceae, where the androphore is a tube formed by connation of the filaments.",arrangement,
102,_androus,architecture,"flower, floret, androecium","Having the number of stamens indicated by the prefix; as in enneandrous, hexandrous, monandrous.",architecture,
103,anemophilous,reproduction,"plant, strobilus, flower",Having the pollen normally transported between strobili or flowers by air currents.,reproduction,
104,angled,shape,,Having sides that meet at acute or obtuse angles.,shape,
105,_angled,shape,,"Elongate with the number of longitudinal angles indicated by the prefix, the intervening sides transversely flat or curved; as in four-angled.  See also ...angular (...gonal), deltoid, obdeltoid, triquetrous.",shape,
106,angular,shape,,Having sides that meet at acute or obtuse angles.,shape,
107,_angular,arrangement,bundle scars,Forming a figure with the number of sides indicated by the prefix.,shape,
108,_angular,shape,,"Having distinct, flat or curved sides of the number indicated by the prefix; as in hexangular, triangular.  See also ...angled (...gonous), deltate.",shape,
109,anisocytic,architecture,stomate,"Having three subsidiary cells, one distinctly smaller than the others.",architecture,
110,anisopetalous,architecture,"flower, perianth, corolla",Having petals unequal in size and/or shape.,architecture,
111,anisophyllous,architecture,"plant, axis",Heterophyllous and bearing leaves of two or more distinct sizes or shapes on the same plants.,architecture,
112,anisosepalous,architecture,"flower, perianth, calyx",Having sepals unequal in size and/or shape.,architecture,
113,anisostemonous,architecture,"flower, androecium",Having stamens unequal in size and/or shape.,architecture,
114,annual,duration,"plant, stem","Normally living one year or less; growing, reproducing, and dying within one cycle of seasons.",duration,
115,annual,life_style,plant,Of annual duration.,duration,
116,annular,shape,,More or less evenly tubular in a closed circle; like a ring or doughnut.,shape,
119,annulus,structure,,"A row of protruding specialized sporangial wall cells that extends upward from the base of the sporangium and over its apex, thus forming an incomplete circumferential ring; esp. in Polypodiophyta.  The inner and radial walls of the annular cells are mark",STRUCTURE,
120,annuli,structure,,"A row of protruding specialized sporangial wall cells that extends upward from the base of the sporangium and over its apex, thus forming an incomplete circumferential ring; esp. in Polypodiophyta.  The inner and radial walls of the annular cells are mark",STRUCTURE,
121,anomocytic,architecture,stomate,Lacking subsidiary cells.,architecture,
122,anthela,structure,inflorescence,"A cyme with the main axis markedly shorter than the lateral axes, appearing generally paniculate when compound; esp. in Juncaceae.",nominative,
123,anthelae,structure,inflorescence,"A cyme with the main axis markedly shorter than the lateral axes, appearing generally paniculate when compound; esp. in Juncaceae.",nominative,
124,anthelate,architecture,inflorescence,Comprising one or more anthelae; esp. in Juncaceae.,architecture,
125,anther,structure,,"The fertile, loculate, pollen-bearing portion of a stamen, containing one, two, or four thecae (pollen sacs), when that portion is differentiated from and borne at the summit of a narrower supporting stalk (filament), or when such differentiation is deeme",STRUCTURE,
126,anther-bearing,architecture,floral structure,Bearing anthers.,architecture,
127,antheridium,structure,,"A male gametangium; a multicellular fertile organ of a mature gametophyte within which male gametes (antherozoids, spermatozoids) are produced and from which they are discharged, in some taxa forcibly, through a pore.  Technically present but highly reduc",STRUCTURE,
128,antheridia,structure,,"A male gametangium; a multicellular fertile organ of a mature gametophyte within which male gametes (antherozoids, spermatozoids) are produced and from which they are discharged, in some taxa forcibly, through a pore.  Technically present but highly reduc",STRUCTURE,
129,antheriferous,architecture,floral structure,Bearing anthers.,architecture,
130,antherozoid,structure,,"A motile male gamete, produced within an antheridium.",STRUCTURE,
131,anthocarp,structure,fruit,Simple or compound and including some tissue of non-ovarian origin (accessory tissue).,nominative,
132,anticlinal,orientation,,Perpendicular to some given plane of reference; applied especially to the plane of cell division when it is oriented at right angles to the generalized plane of the structural surface.,orientation,
#,antipetalous,insertion,equivalent floral structures,"Each inserted directly above or below a petal.  In place of this term, the phrase 'opposite the petals' is often used, but that contradicts the sense of opposite as otherwise employed (arrangement of lateral structures along an axis) and should be avoided",position,
134,antipetalous,position,equivalent floral structures,"Each inserted directly above or below a petal.  In place of this term, the phrase 'opposite the petals' is often used, but that contradicts the sense of opposite as otherwise employed (arrangement of lateral structures along an axis) and should be avoided",position,
#,antisepalous,insertion,equivalent floral structures,"Each inserted directly above or below a sepal.  In place of this term, the phrase 'opposite the sepals' is often used, but that contradicts the sense of opposite as otherwise employed (arrangement of lateral structures along an axis) and should be avoided",position,
136,antisepalous,position,equivalent floral structures,"Each inserted directly above or below a sepal.  In place of this term, the phrase 'opposite the sepals' is often used, but that contradicts the sense of opposite as otherwise employed (arrangement of lateral structures along an axis) and should be avoided",position,
137,antrorse,orientation,,"Directed forward or upward, toward the distal end of the context of reference, parallel or at an acute angle to the bearing structure.",orientation,
138,apetalous,architecture,"flower, perianth",Lacking petals.,architecture,
139,apex,structure,,"Configuration of the uppermost, distal, or terminal portion of a structure, its extent determined somewhat subjectively in relation to the shape of the structure as a whole.  The concept of apex varies from one descriptive context to another, since the ap",shape,
140,apices,structure,,"Configuration of the uppermost, distal, or terminal portion of a structure, its extent determined somewhat subjectively in relation to the shape of the structure as a whole.  The concept of apex varies from one descriptive context to another, since the ap",CHARACTER,
141,aphyllous,architecture,"plant, axis",Not bearing leaves.,architecture,
#,apical,insertion,,At or very near the developmental end or tip (apex) of a structure.,position,
143,apical,position,,At or very near the developmental end or tip (apex) of a structure.,position,
144,apiculate,shape,,"Terminating abruptly in a short, slender, angular tip that is not notably harder or stiffer than the main body of the structure.  See also mucronate, mucronulate.",shape,
146,apicula,structure,,"A short, slender, angular tip that is not notably harder or stiffer than the main body of the bearing structure.  See also mucro.",STRUCTURE,
147,apiculum,structure,,"The apex of a connective, when prolonged above the union of the anthers.",STRUCTURE,
148,apicula,structure,,"The apex of a connective, when prolonged above the union of the anthers.",STRUCTURE,
149,apocarpous,architecture,"flower, gynoecium",Having two or more simple pistils (carpels).,architecture,
150,apogamous,reproduction,"taxon, plant","Producing new sporophytes from the gametophytes asexually, without intervening fertilization (or gametes).",reproduction,
151,apolar,architecture,"pollen grain, spore",Lacking morphologically evident polarity.,architecture,
152,apomictic,reproduction,"taxon, plant",Producing new plants by means not involving meiosis or fertilization.,reproduction,
153,apopetalous,architecture,"flower, perianth, corolla",Having two or more distinct petals; having the petals unfused.,architecture,
154,aposepalous,architecture,"flower, perianth, calyx",Having two or more distinct sepals; having the sepals unfused.,architecture,
155,aposporous,reproduction,"taxon, plant","Producing new gametophytes from the sporophytes asexually, without intervening meiosis (or spores).",reproduction,
156,apostemonous,architecture,"flower, androecium",Having two or more distinct stamens; having the stamens unfused.,architecture,
157,apotropous,orientation,ovule,"Anatropous but the whole recurved such that the raphe (adnate portion of the funiculus) faces the ovary wall (placenta) and the ovule is parallel to it, the micropyle facing the free basal portion of the funiculus.",orientation,
158,appendage,structure,,Any subordinate structure ontogenetically derived from and associated with a given organ or part.,STRUCTURE,
159,appressed,orientation,lateral structure,"Angled at or near the base and closely flattened against the surface of the bearing structure, thus more or less parallel to it.",orientation,
160,approximate,arrangement,,Disposed relatively near to one another.,arrangement,
161,aquatic,habit,plant,Growing in water.,habit,
162,arachnoid,pubescence,,"Of fairly sparse, fine, white, loosely tangled, capillate trichomes.",pubescence,
163,arboreous,habit,plant,"Having the character of a tree.  See also arborescent, bushy, frutescent, fruticose, subshrubby, suffrutescent, suffruticose, woody-clumping.",habit,
164,arborescent,habit,plant,"Developing the character of a tree.  See also arboreous, bushy, frutescent, fruticose, subshrubby, suffrutescent, suffruticose, woody-clumping.",habit,
165,archegonium,structure,,"A female gametangium; a multicellular fertile organ of a mature gametophyte within which female gametes (eggs, ova) are produced and fertilized; having a broad, bulbous base and a narrower distal neck.  Technically present but highly reduced and of no des",STRUCTURE,
166,archegonia,structure,,"A female gametangium; a multicellular fertile organ of a mature gametophyte within which female gametes (eggs, ova) are produced and fertilized; having a broad, bulbous base and a narrower distal neck.  Technically present but highly reduced and of no des",STRUCTURE,
167,arching,orientation,,Curving backward or downward.,orientation,
168,architecture,CHARACTER,,"Composite structural configuration as to type, orientation, symmetry, insertion, position, fusion, presence, number, relative size, shape, texture, differentiation, and/or derivation of components and features.  Overlaps conceptually with habit.",CHARACTER,
169,arcuate,course,,Curving more or less regularly in one direction.,shape,
170,arcuate,shape,,"Elongate and more or less regularly curved from one end to the other, one side convex, the opposite concave.",shape,
171,areola,structure,,"Any distinctive surficial discontinuity of generally circular outline, whether concave, flush, or convex; when protuberant, sometimes bearing trichomes or spines, as in some Cactaceae.  This term is used only when such entities are deemed structurally dis",STRUCTURE,
172,areolae,structure,,"Any distinctive surficial discontinuity of generally circular outline, whether concave, flush, or convex; when protuberant, sometimes bearing trichomes or spines, as in some Cactaceae.  This term is used only when such entities are deemed structurally dis",STRUCTURE,
173,areola,structure,foliaceous structure,Any distinguishable laminar portion bounded on all sides by anastomosing veins and not traversed or dissected by any vasculature other than veinlets.,STRUCTURE,
174,areolae,structure,foliaceous structure,Any distinguishable laminar portion bounded on all sides by anastomosing veins and not traversed or dissected by any vasculature other than veinlets.,STRUCTURE,
175,areolate,relief,,"Having numerous, small, irregularly disposed, transversely angular, shallow depressions or low protrusions overall.",relief,
176,areole,structure,,"Any distinctive surficial discontinuity of generally circular outline, whether concave, flush, or convex; when protuberant, sometimes bearing trichomes or spines, as in some Cactaceae.  This term is used only when such entities are deemed structurally dis",STRUCTURE,
177,areole,structure,foliaceous structure,Any distinguishable laminar portion bounded on all sides by anastomosing veins and not traversed or dissected by any vasculature other than veinlets.,STRUCTURE,
179,aril,structure,,"An appendicular structure that wholly or partly envelops a seed and is an outgrowth from the funicle or raphe, and thus is ontogenetically derived from the placenta; usually fleshy or pulpy, sometimes spongy or tufted-capillate, often brightly colored.",STRUCTURE,
180,arillate,architecture,seed,Having an aril.,architecture,
181,arillode,structure,,"A 'false' aril; an appendicular structure that wholly or partly envelops a seed and is produced from or a modification of the outer integument or (in some Pinophyta) a subtending involucre, but not from the funicle or raphe, and thus is not ontogeneticall",STRUCTURE,
182,arillus,structure,,"An appendicular structure that wholly or partly envelops a seed and is an outgrowth from the funicle or raphe, and thus is ontogenetically derived from the placenta; usually fleshy or pulpy, sometimes spongy or tufted-capillate, often brightly colored.",STRUCTURE,
183,arilli,structure,,"An appendicular structure that wholly or partly envelops a seed and is an outgrowth from the funicle or raphe, and thus is ontogenetically derived from the placenta; usually fleshy or pulpy, sometimes spongy or tufted-capillate, often brightly colored.",STRUCTURE,
184,arista,structure,,"A slender, more or less straight and stiff, fine-pointed, terminal or subterminal appendage or prolongation, sometimes a continuation of the bearing structure's central primary vein, as on a glume, lemma, or palea in Poaceae (Gramineae).",STRUCTURE,
185,aristae,structure,,"A slender, more or less straight and stiff, fine-pointed, terminal or subterminal appendage or prolongation, sometimes a continuation of the bearing structure's central primary vein, as on a glume, lemma, or palea in Poaceae (Gramineae).",STRUCTURE,
186,aristate,shape,,"Bearing one or more aristae (awns, bristles, setae).",shape,
188,aromatic,odor,,Having a distinct odor; usually restricted to pleasant odors.,odor,
189,arrangement,CHARACTER,,"Disposition of equivalent structures with respect to one another (positions/insertions and/or orientations, regarded collectively) within some explicit or implicit standard context.  Overlaps conceptually with habit, insertion, orientation, position, and",CHARACTER,
191,arrowhead-shaped,shape,,"Generally triangular, tapering gradually from the base to an acute apex, the base with a relatively large, acute, retrorse lobe to either side; like the outline of the broad lateral face of an arrowhead.",shape,
192,articulate,architecture,,"Elongate with one or more distinct, relatively narrow zones of demarcation between adjacent main portions of the whole, these articulations (joints) often thicker and sometimes sites of eventual abscission.",architecture,
193,articulated,architecture,,"Elongate with one or more distinct, relatively narrow zones of demarcation between adjacent main portions of the whole, these articulations (joints) often thicker and sometimes sites of eventual abscission.",architecture,
194,articulation,structure,,"A distinct, relatively narrow zone of demarcation between adjacent main portions of an elongate structure, often thicker than the rest of the structure and sometimes a site of eventual abscission.",STRUCTURE,
195,ascending,orientation,lateral structure,"Spreading at the base and then curving upward or forward, the distal portion more or less parallel to the bearing structure.",orientation,
196,ascidiate,architecture,leaf,"Having an ascidiform (pitcher-shaped) blade; esp. in Nepenthaceae, Sarraceniaceae.",architecture,
198,ascidiform,shape,,"Having a more or less tubular, radially or bilaterally symmetrical body closed at the base and broadening toward a more or less open apex sometimes lidded or overarched by a prolongation of one side; like a pitcher.",shape,
199,ascidium,structure,,"An ascidiform (pitcher-shaped) leaf blade, sometimes operculate (lidded), usually carnivorous; esp. in Nepenthaceae, Sarraceniaceae.",STRUCTURE,
200,ascidia,structure,,"An ascidiform (pitcher-shaped) leaf blade, sometimes operculate (lidded), usually carnivorous; esp. in Nepenthaceae, Sarraceniaceae.",STRUCTURE,
201,asepalous,architecture,"flower, perianth",Lacking sepals.,architecture,
202,aseptate,architecture,,Lacking internal walls or partitions (septae).,architecture,
203,asexual,reproduction,"taxon, plant",Producing new plants by means not involving meiosis or fertilization.,reproduction,
204,assurgent,orientation,lateral structure,"Spreading at the base and then curving upward or forward, the distal portion more or less parallel to the bearing structure.",orientation,
205,astomatiferous,architecture,,Lacking stomates in the epidermis.,architecture,
206,asymmetric,architecture,,Not divisible into essentially equal halves along any line or plane.,shape,
207,asymmetrical,architecture,,Not divisible into essentially equal halves along any line or plane.,architecture,
208,asymmetric,shape,,Not divisible into essentially equal halves along any line or plane.,shape,
209,asymmetrical,shape,,Not divisible into essentially equal halves along any line or plane.,shape,
214,atropous,orientation,ovule,"Having the (straight) ovule sessile or funiculate and divaricate, the micropyle facing away from the ovary wall (placenta).",orientation,
215,attenuate,shape,,"Gradually diminishing in width or diameter toward the proximal end, the sides longitudinally concave.  Corresponds with acuminate for apex shape.",shape,q
217,attenuate,shape,,Gradually diminishing in breadth or diameter from one end to the other.,shape,q
218,auricle,structure,,"A small, rounded, lateral lobe at the base of a laminar structure, lying in more or less the same plane as the remainder of the lamina.",STRUCTURE,
219,auriculate,shape,laminar structure,"Having two small, rounded, lateral lobes, one to either side, that lie in more or less the same plane as the remainder of the lamina.",shape,
220,auriform,shape,,Resembling a mammalian outer ear.,shape,
221,autogamous,reproduction,taxon,Having fertilization regularly involving gametes derived from the same plant.,reproduction,
222,automictic,reproduction,taxon,Having fertilization regularly involving gametes derived from the same plant.,reproduction,
223,autotrophic,nutrition,plant,"Independent of other organisms for its nourishment, itself synthesizing all essential substances not directly available from the non-living environment.",nutrition,
225,awl-shaped,shape,,"Slender, essentially terete, and straight, gradually attenuate from a relatively narrow base to a very narrow, blunt to angular apex.",shape,
226,awn,structure,,"A slender, more or less straight and stiff, fine-pointed, terminal or subterminal appendage or prolongation, sometimes a continuation of the bearing structure's central primary vein, as on a glume, lemma, or palea in Poaceae (Gramineae).",STRUCTURE,
227,awned,shape,,"Bearing one or more awns (aristae, bristles, setae).",shape,
228,axe-shaped,shape,,"Elongate, basally terete, becoming strongly compressed toward an abruptly and unilaterally broader apex; like an axe (handle plus head).",shape,
229,axehead-shaped,shape,,Like an axe head oriented cutting edge downward.,shape,
230,axil,FEATURE,,"The space bounded by and near the vertex of the distal angle between a lateral structure, especially a leaf, and the axis that bears it.",FEATURE,
231,axile,placentation,,"Upon the central axis of a compound, plurilocular ovary.",placentation,
#,axillary,insertion,,"Within the axil; nodal and at or very close to the vertex of the distal angle between a lateral structure, especially a leaf, and the axis that bears it.",insertion,
233,axillary,position,,"Within the axil; nodal and at or very close to the vertex of the distal angle between a lateral structure, especially a leaf, and the axis that bears it.",position,
234,axis,structure,,"Any unitary and longitudinally continuous structure that bears laterally the subordinate portion(s), if any, of a plant root or shoot or any subdivision thereof and that represents the main line of structural development and/or symmetry distal to its orig",STRUCTURE,
235,axes,structure,,"Any unitary and longitudinally continuous structure that bears laterally the subordinate portion(s), if any, of a plant root or shoot or any subdivision thereof and that represents the main line of structural development and/or symmetry distal to its orig",STRUCTURE,
236,baccate,architecture,fruit,Having the structure and texture of a berry.,architecture,
237,bag-shaped,shape,,Irregularly obovoid with an exterior aspect intermediate between inflated and flaccid; like a closed pouch or bag.,shape,
238,bald,pubescence,,Lacking trichomes.,pubescence,
239,balding,pubescence,,"Becoming bald (glabrous, psilate) with age.",pubescence,
240,banded,coloration,,"Broadly striped; having one or more elongate, relatively broad and, when multiple, more or less parallel, areas of contrasting hue and/or intensity.",coloration,
241,banner,structure,,"The relatively large, erect adaxial (upper) petal in a papilionaceous corolla.",STRUCTURE,
242,barb,structure,,"Any relatively short, stiff, sharp, acutely inserted or bent, antrorse or retrorse, terminal or lateral appendage.",STRUCTURE,
243,barb,structure,,"A trichome terminated by one or two small, relatively short, stiff, sharp, acutely reflexed appendages.",STRUCTURE,
244,barbate,pubescence,,"Having one or more limited sectors bearing fairly long, erect, flexible, capillary trichomes.",pubescence,
245,barbed,architecture,,"Terminated by a small, relatively stiff, acutely reflexed, hook-like structure.",shape,
246,barbed,architecture,,"Having one or more relatively short, stiff, acutely inserted or bent, antrorse or retrorse, terminal and/or lateral hook-like appendages; esp. awns or setae.",shape,
