kingdom,phylum,classname,ordername,family
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,SMILACACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SOLANALES,SOLANACEAE
PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,SOLENOSTOMATACEAE
PLANTAE,RHODOPHYTA,FLORIDEOPHYCEAE,GIGARTINALES,SOLIERIACEAE
PLANTAE,MARCHANTIOPHYTA,MARCHANTIOPSIDA,SPHAEROCARPALES,SPHAEROCARPACEAE
PLANTAE,BRYOPHYTA,SPHAGNOPSIDA,SPHAGNALES,SPHAGNACEAE
PLANTAE,BRYOPHYTA,BRYOPSIDA,SPLACHNALES,SPLACHNACEAE
PLANTAE,TRACHEOPHYTA,CYCADOPSIDA,CYCADALES,STANGERIACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,STAPHYLEACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,STERCULIACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,EBENALES,STYRACACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,EBENALES,SYMPLOCACEAE
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,TACCACEAE
PLANTAE,BRYOPHYTA,TAKAKIOPSIDA,TAKAKIALES,TAKAKIACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,VIOLALES,TAMARICACEAE
PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,TAXACEAE
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,TECOPHILAEACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,THEALES,THEACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RUBIALES,THELIGONACEAE
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,THELYPTERIDACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PRIMULALES,THEOPHRASTACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,THYMELAEACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,TICODENDRACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,TILIACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,TRAPACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,POLYGALALES,TRIGONIACEAE
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,TRILLIACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,TRIMENIACEAE
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,TRIURIDALES,TRIURIDACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GERANIALES,TROPAEOLACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,VIOLALES,TURNERACEAE
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,TYPHALES,TYPHACEAE
PLANTAE,CHLOROPHYTA,BRYOPSIDOPHYCEAE,BRYOPSIDALES,UDOTEACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,URTICALES,ULMACEAE
PLANTAE,CHLOROPHYTA,ULVOPHYCEAE,ULVALES,ULVACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,UMBELLIFERAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,URTICALES,URTICACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,VAHLIACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,DIPSACALES,VALERIANACEAE
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,VELLOZIACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,VERBENACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,VIOLALES,VIOLACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SANTALALES,VISCACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RHAMNALES,VITACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,POLYGALALES,VOCHYSIACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,WINTERACEAE
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,WOODSIACEAE
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,COMMELINALES,XYRIDACEAE
PLANTAE,TRACHEOPHYTA,CYCADOPSIDA,CYCADALES,ZAMIACEAE
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,NAJADALES,ZANNICHELLIACEAE
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGERBERALES,ZINGIBERACEAE
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,NAJADALES,ZOSTERACEAE
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,ZYGOPHYLLACEAE
































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































